LAST SEEN   TYPE      REASON                  OBJECT                                     MESSAGE
3m6s        Normal    Started                 pod/bookstack-mysql-56b8665b6-vvsbm        Started container bookstack-mysql
88s         Normal    Killing                 pod/bookstack-mysql-56b8665b6-vvsbm        Stopping container bookstack-mysql
3m13s       Normal    SuccessfulCreate        replicaset/bookstack-mysql-56b8665b6       Created pod: bookstack-mysql-56b8665b6-vvsbm
88s         Normal    SuccessfulCreate        replicaset/bookstack-mysql-56b8665b6       Created pod: bookstack-mysql-56b8665b6-gq68v
3m13s       Normal    WaitForFirstConsumer    persistentvolumeclaim/bookstack-mysql      waiting for first consumer to be created before binding
3m13s       Normal    ScalingReplicaSet       deployment/bookstack-mysql                 Scaled up replica set bookstack-mysql-56b8665b6 to 1
3m13s       Normal    ExternalProvisioning    persistentvolumeclaim/bookstack-mysql      Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
3m13s       Normal    Provisioning            persistentvolumeclaim/bookstack-mysql      External provisioner is provisioning volume for claim "bookstack/bookstack-mysql"
3m10s       Normal    ProvisioningSucceeded   persistentvolumeclaim/bookstack-mysql      Successfully provisioned volume pvc-cfe976f2-c798-42c5-8e21-2410f79d9589
3m13s       Normal    WaitForFirstConsumer    persistentvolumeclaim/bookstack-storage    waiting for first consumer to be created before binding
3m13s       Normal    ExternalProvisioning    persistentvolumeclaim/bookstack-storage    Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
3m13s       Normal    Provisioning            persistentvolumeclaim/bookstack-storage    External provisioner is provisioning volume for claim "bookstack/bookstack-storage"
3m10s       Normal    ProvisioningSucceeded   persistentvolumeclaim/bookstack-storage    Successfully provisioned volume pvc-703b2aa5-820a-4ea6-84fe-2219f882c485
3m13s       Normal    WaitForFirstConsumer    persistentvolumeclaim/bookstack-uploads    waiting for first consumer to be created before binding
3m13s       Normal    ExternalProvisioning    persistentvolumeclaim/bookstack-uploads    Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
3m13s       Normal    Provisioning            persistentvolumeclaim/bookstack-uploads    External provisioner is provisioning volume for claim "bookstack/bookstack-uploads"
3m9s        Normal    ProvisioningSucceeded   persistentvolumeclaim/bookstack-uploads    Successfully provisioned volume pvc-9a890319-706d-4db0-8e1c-c86da63ad9f7
